name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
"Johnson, Kolby",LW,"Sherbrooke, Phoenix",1998-05-12,41,37,1,1,0,2,0,0,0,0,1,1,0,2,6,22,0,2017-18 | Regular Season,22,6,1734,1734,228,209,165,602,219,154,58,56,54,168,156,146,109,411,F,1998-05-12,1998,1998-09-15,2016,2018,N
"Kirwan, Luke",LW,"Baie-Comeau, Drakkar",1997-09-23,47,160,21,7,9,37,9,5,4,18,12,2,5,19,32,34,34,2017-18 | Regular Season,48,67,1734,1734,219,205,166,590,234,156,61,60,56,177,146,136,107,389,F,1997-09-23,1997,1997-09-15,2016,2018,N
"Smith, Ryan",C,"Chicoutimi, Saguenéens",1999-06-04,54,67,5,3,5,13,0,0,2,2,4,3,3,10,19,27,5,2017-18 | Regular Season,39,26,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,F,1999-06-04,1999,1999-09-15,2017,2018,N
"Auger, Kyle",D,"Moncton, Wildcats",1999-01-02,13,18,1,1,0,2,0,0,0,0,1,1,0,2,5,10,0,2017-18 | Regular Season,11,5,1734,1734,233,219,173,625,235,159,66,64,58,188,144,137,109,390,D,1999-01-02,1999,1999-09-15,2017,2018,N
"O'Reilly, Brendan",D,"Saint John, Sea Dogs",1997-05-15,31,28,1,1,3,5,1,0,2,3,0,1,1,2,10,35,4,2017-18 | Regular Season,51,14,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,D,1997-05-15,1997,1997-09-15,2015,2018,N
"Peyton, Liam",LW,"Charlottetown, Islanders",2000-03-30,38,39,1,3,1,5,0,0,0,0,1,3,1,5,10,12,0,2017-18 | Regular Season,20,10,1734,1734,205,189,145,539,206,135,45,44,43,132,141,131,93,365,F,2000-03-30,2000,2000-09-15,2018,2018,Y
"Anderson, Joshua",D,"Rimouski, Océanic",1999-06-14,19,12,0,0,2,2,0,0,0,0,0,0,2,2,12,9,0,2017-18 | Regular Season,9,12,1734,1734,229,216,179,624,208,144,50,50,50,150,162,150,122,434,D,1999-06-14,1999,1999-09-15,2017,2018,N
"Sandilands, Roddie",D,"Shawinigan, Cataractes",1999-06-14,25,18,0,4,0,4,0,0,0,0,0,4,0,4,12,34,0,2017-18 | Regular Season,40,12,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,1999-06-14,1999,1999-09-15,2017,2018,N
"Templeton, Stephen",D,"Chicoutimi, Saguenéens",1997-01-26,29,27,1,4,2,7,0,0,1,1,1,4,1,6,14,21,1,2017-18 | Regular Season,40,15,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,D,1997-01-26,1997,1997-09-15,2015,2018,N
"Martin, Calvin",C,"Val-d'Or, Foreurs",1999-09-16,28,31,2,2,1,5,0,0,0,0,2,2,1,5,12,37,0,2017-18 | Regular Season,45,12,1734,1734,170,161,132,463,233,154,41,41,37,119,115,110,85,310,F,1999-09-16,1999,1999-09-15,2018,2018,Y
