name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
"Hébert, Jérémie",D,"Baie-Comeau, Drakkar",2001-11-19,30,12,0,0,2,2,0,0,0,0,0,0,2,2,8,12,1,2017-18 | Regular Season,13,9,1734,1734,219,205,166,590,234,156,61,60,56,177,146,136,107,389,D,2001-11-19,2001,2001-09-15,2020,2018,N
"Nault-Daigle, Ludovick",C,"Shawinigan, Cataractes",2001-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,F,2001-10-03,2001,2001-09-15,2020,2018,N
"Fraser, Cole",C,"Blainville-Boisbriand, Armada",2001-01-24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2017-18 | Regular Season,1,1,1734,1734,273,251,195,719,232,150,75,75,70,220,170,158,119,447,F,2001-01-24,2001,2001-09-15,2019,2018,N
"Tremblay, Charles",RW,"Chicoutimi, Saguenéens",2000-10-17,24,22,0,2,1,3,0,0,0,0,0,2,1,3,4,8,0,2017-18 | Regular Season,8,4,1734,1734,197,183,144,524,199,127,54,54,50,158,132,123,92,347,F,2000-10-17,2000,2000-09-15,2019,2018,N
"Virtue, Braeden",D,"Québec, Remparts",2001-01-22,27,19,0,0,3,3,0,0,0,0,0,0,3,3,10,15,0,2017-18 | Regular Season,15,10,1734,1734,225,208,164,597,190,124,66,65,61,192,142,132,96,370,D,2001-01-22,2001,2001-09-15,2019,2018,N
"Wilson, Luke",C,"Saint John, Sea Dogs",2001-03-01,38,46,5,2,1,8,0,0,0,0,5,2,1,8,20,26,1,2017-18 | Regular Season,27,21,1734,1734,179,163,125,467,245,171,46,45,40,131,124,111,81,316,F,2001-03-01,2001,2001-09-15,2019,2018,N
"DeGagné, Alex",D,"Shawinigan, Cataractes",2000-02-15,50,44,0,7,3,10,0,5,1,6,0,2,2,4,25,32,11,2017-18 | Regular Season,39,36,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,2000-02-15,2000,2000-09-15,2018,2018,Y
"Hart, Gavin",C,"Halifax, Mooseheads",2001-05-10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,268,253,190,711,269,185,56,54,49,159,189,181,134,504,F,2001-05-10,2001,2001-09-15,2019,2018,N
"Bennett, Zachery",D,"Acadie-Bathurst, Titan",2000-07-02,9,1,0,1,0,1,0,0,0,0,0,1,0,1,4,6,1,2017-18 | Regular Season,6,5,1734,1734,274,253,203,730,247,166,62,61,58,181,192,180,139,511,D,2000-07-02,2000,2000-09-15,2018,2018,Y
"Dion, Benjamin",LW,"Val-d'Or, Foreurs",2001-04-04,59,35,2,2,2,6,0,0,0,0,2,2,2,6,10,32,0,2017-18 | Regular Season,34,10,1734,1734,170,161,132,463,233,154,41,41,37,119,115,110,85,310,F,2001-04-04,2001,2001-09-15,2019,2018,N
"Lavoie, Jean-Mathieu",D,"Sherbrooke, Phoenix",1998-09-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2017-18 | Regular Season,2,1,1734,1734,228,209,165,602,219,154,58,56,54,168,156,146,109,411,D,1998-09-10,1998,1998-09-15,2016,2018,N
"Lafond, Jérôme",D,"Shawinigan, Cataractes",2000-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 | Regular Season,0,0,1734,1734,182,170,134,486,219,147,46,44,40,130,128,122,93,343,D,2000-08-20,2000,2000-09-15,2018,2018,Y
"Beaudoin, Tommy",RW,"Rouyn-Noranda, Huskies",1999-03-15,66,127,18,6,6,30,6,1,2,9,10,5,3,18,40,20,18,2017-18 | Regular Season,27,62,1734,1734,237,213,174,624,212,135,70,68,65,203,141,127,98,366,F,1999-03-15,1999,1999-09-15,2017,2018,N
